age	state	a1c_6.5+_(%)	dm_(%)	n_all_patients	Year
35-44 Years	Washington	3.94%	5.86%	194038	1/1/2025 - 10/30/2025
35-44 Years	California	4.48%	7.76%	939450	1/1/2025 - 10/30/2025
35-44 Years	Montana	3.65%	5.73%	41847	1/1/2025 - 10/30/2025
35-44 Years	Puerto Rico	4.51%	11.46%	8331	1/1/2025 - 10/30/2025
35-44 Years	South Dakota	4.33%	6.45%	44649	1/1/2025 - 10/30/2025
35-44 Years	Alaska	3.82%	5.51%	1125	1/1/2025 - 10/30/2025
35-44 Years	North Dakota	4.07%	6.70%	76548	1/1/2025 - 10/30/2025
35-44 Years	Nevada	3.25%	6.15%	103488	1/1/2025 - 10/30/2025
35-44 Years	District of Columbia	2.88%	4.79%	20039	1/1/2025 - 10/30/2025
35-44 Years	Colorado	3.23%	5.69%	320895	1/1/2025 - 10/30/2025
35-44 Years	Vermont	2.52%	5.11%	41599	1/1/2025 - 10/30/2025
35-44 Years	Armed Forces Pacific	NA	NA	61	1/1/2025 - 10/30/2025
35-44 Years	Utah	3.36%	6.70%	91856	1/1/2025 - 10/30/2025
35-44 Years	Armed Forces Africa	NA	NA	141	1/1/2025 - 10/30/2025
35-44 Years	None of the above	3.55%	6.76%	168388	1/1/2025 - 10/30/2025
35-44 Years	Total	4.79%	8.07%	13750857	1/1/2025 - 10/30/2025
45-54 Years	Marshall Islands	NA	NA	5	1/1/2025 - 10/30/2025
45-54 Years	Federated States of Micronesia	NA	NA	5	1/1/2025 - 10/30/2025
45-54 Years	American Samoa, South Pacific	NA	27.50%	40	1/1/2025 - 10/30/2025
45-54 Years	Northern Mariana Islands	NA	NA	13	1/1/2025 - 10/30/2025
45-54 Years	Virgin Islands	11.03%	17.21%	517	1/1/2025 - 10/30/2025
45-54 Years	Alabama	11.72%	20.59%	61195	1/1/2025 - 10/30/2025
45-54 Years	Guam	NA	NA	38	1/1/2025 - 10/30/2025
45-54 Years	Mississippi	12.50%	19.99%	194322	1/1/2025 - 10/30/2025
45-54 Years	Kentucky	12.28%	18.70%	299995	1/1/2025 - 10/30/2025
45-54 Years	Delaware	12.63%	17.37%	37097	1/1/2025 - 10/30/2025
45-54 Years	Indiana	12.35%	18.81%	287678	1/1/2025 - 10/30/2025
45-54 Years	North Carolina	11.36%	16.85%	666278	1/1/2025 - 10/30/2025
45-54 Years	South Carolina	11.09%	17.74%	357744	1/1/2025 - 10/30/2025
45-54 Years	Ohio	11.13%	16.84%	968352	1/1/2025 - 10/30/2025
45-54 Years	West Virginia	10.88%	20.07%	114469	1/1/2025 - 10/30/2025
45-54 Years	Illinois	11.88%	17.35%	572937	1/1/2025 - 10/30/2025
45-54 Years	Maine	9.16%	12.58%	73116	1/1/2025 - 10/30/2025
45-54 Years	Maryland	9.58%	15.92%	184537	1/1/2025 - 10/30/2025
45-54 Years	New Jersey	8.74%	14.43%	353003	1/1/2025 - 10/30/2025
45-54 Years	Kansas	9.32%	15.28%	101544	1/1/2025 - 10/30/2025
45-54 Years	Missouri	10.32%	16.41%	105516	1/1/2025 - 10/30/2025
45-54 Years	Pennsylvania	8.83%	14.04%	778743	1/1/2025 - 10/30/2025
45-54 Years	Michigan	9.56%	14.80%	562468	1/1/2025 - 10/30/2025
45-54 Years	Virginia	9.09%	14.54%	503855	1/1/2025 - 10/30/2025
45-54 Years	New York	8.60%	13.81%	666403	1/1/2025 - 10/30/2025
45-54 Years	Rhode Island	9.55%	14.79%	65393	1/1/2025 - 10/30/2025
45-54 Years	Oklahoma	10.59%	17.41%	122680	1/1/2025 - 10/30/2025
45-54 Years	Minnesota	10.27%	14.54%	242793	1/1/2025 - 10/30/2025
45-54 Years	Wisconsin	10.91%	14.45%	310336	1/1/2025 - 10/30/2025
45-54 Years	Hawaii	9.12%	16.31%	66525	1/1/2025 - 10/30/2025
45-54 Years	Iowa	11.14%	15.99%	184190	1/1/2025 - 10/30/2025
45-54 Years	New Mexico	9.75%	17.01%	25839	1/1/2025 - 10/30/2025
45-54 Years	Massachusetts	8.81%	13.17%	370302	1/1/2025 - 10/30/2025
45-54 Years	Nebraska	9.28%	15.08%	81832	1/1/2025 - 10/30/2025
45-54 Years	Louisiana	9.19%	17.38%	243055	1/1/2025 - 10/30/2025
45-54 Years	Idaho	8.80%	13.25%	97398	1/1/2025 - 10/30/2025
45-54 Years	Tennessee	9.20%	17.67%	156923	1/1/2025 - 10/30/2025
45-54 Years	New Hampshire	7.91%	11.29%	54583	1/1/2025 - 10/30/2025
45-54 Years	Georgia	9.20%	16.86%	356428	1/1/2025 - 10/30/2025
45-54 Years	Arizona	10.19%	14.19%	157110	1/1/2025 - 10/30/2025
45-54 Years	Arkansas	10.39%	18.57%	96661	1/1/2025 - 10/30/2025
45-54 Years	Connecticut	7.41%	13.65%	281480	1/1/2025 - 10/30/2025
45-54 Years	Wyoming	8.40%	14.18%	16567	1/1/2025 - 10/30/2025
45-54 Years	Florida	8.27%	15.44%	827683	1/1/2025 - 10/30/2025
45-54 Years	Oregon	9.07%	14.09%	204766	1/1/2025 - 10/30/2025
45-54 Years	Texas	9.76%	18.40%	1206573	1/1/2025 - 10/30/2025
45-54 Years	Washington	8.35%	11.89%	170977	1/1/2025 - 10/30/2025
45-54 Years	California	9.45%	15.51%	894522	1/1/2025 - 10/30/2025
45-54 Years	Montana	7.61%	11.70%	39731	1/1/2025 - 10/30/2025
45-54 Years	Puerto Rico	9.99%	22.09%	9323	1/1/2025 - 10/30/2025
45-54 Years	South Dakota	8.82%	12.67%	40766	1/1/2025 - 10/30/2025
45-54 Years	Alaska	9.08%	13.42%	969	1/1/2025 - 10/30/2025
45-54 Years	North Dakota	8.41%	13.90%	62848	1/1/2025 - 10/30/2025
45-54 Years	Nevada	7.02%	12.66%	94197	1/1/2025 - 10/30/2025
45-54 Years	District of Columbia	6.38%	10.98%	13785	1/1/2025 - 10/30/2025
45-54 Years	Colorado	6.70%	11.23%	285752	1/1/2025 - 10/30/2025
45-54 Years	Vermont	4.76%	9.37%	43052	1/1/2025 - 10/30/2025
45-54 Years	Armed Forces Pacific	NA	NA	92	1/1/2025 - 10/30/2025
45-54 Years	Utah	5.98%	12.34%	86976	1/1/2025 - 10/30/2025
45-54 Years	Armed Forces Africa	NA	6.40%	172	1/1/2025 - 10/30/2025
45-54 Years	None of the above	7.43%	14.53%	145922	1/1/2025 - 10/30/2025
45-54 Years	Total	9.70%	15.75%	13948076	1/1/2025 - 10/30/2025
55-64 Years	Marshall Islands	NA	NA	5	1/1/2025 - 10/30/2025
55-64 Years	Federated States of Micronesia	NA	NA	5	1/1/2025 - 10/30/2025
55-64 Years	American Samoa, South Pacific	NA	38.46%	52	1/1/2025 - 10/30/2025
55-64 Years	Northern Mariana Islands	NA	NA	18	1/1/2025 - 10/30/2025
55-64 Years	Virgin Islands	12.55%	22.54%	781	1/1/2025 - 10/30/2025
55-64 Years	Alabama	15.40%	27.19%	75548	1/1/2025 - 10/30/2025
55-64 Years	Guam	NA	27.27%	88	1/1/2025 - 10/30/2025
55-64 Years	Mississippi	17.03%	27.14%	224287	1/1/2025 - 10/30/2025
55-64 Years	Kentucky	17.47%	26.26%	336758	1/1/2025 - 10/30/2025
55-64 Years	Delaware	18.18%	24.86%	50677	1/1/2025 - 10/30/2025
55-64 Years	Indiana	17.12%	25.98%	317222	1/1/2025 - 10/30/2025
55-64 Years	North Carolina	16.14%	24.23%	755627	1/1/2025 - 10/30/2025
55-64 Years	South Carolina	15.60%	25.02%	425318	1/1/2025 - 10/30/2025
55-64 Years	Ohio	16.01%	24.12%	1114405	1/1/2025 - 10/30/2025
55-64 Years	West Virginia	15.38%	27.89%	134459	1/1/2025 - 10/30/2025
55-64 Years	Illinois	15.99%	24.22%	642311	1/1/2025 - 10/30/2025
55-64 Years	Maine	13.28%	18.06%	97532	1/1/2025 - 10/30/2025
55-64 Years	Maryland	14.03%	23.19%	229807	1/1/2025 - 10/30/2025
55-64 Years	New Jersey	13.34%	22.04%	439673	1/1/2025 - 10/30/2025
55-64 Years	Kansas	13.66%	21.99%	115716	1/1/2025 - 10/30/2025
55-64 Years	Missouri	14.80%	23.87%	121891	1/1/2025 - 10/30/2025
55-64 Years	Pennsylvania	13.48%	21.22%	940032	1/1/2025 - 10/30/2025
55-64 Years	Michigan	13.93%	21.54%	666306	1/1/2025 - 10/30/2025
55-64 Years	Virginia	13.45%	21.74%	590399	1/1/2025 - 10/30/2025
55-64 Years	New York	12.92%	20.78%	863279	1/1/2025 - 10/30/2025
