,Measures,Percentage with Has Any Encounters? preceded by Diagnosis (All): Obesity CCW definition within 24 months (%),,,,,,,,,,,Percentage with Has Any Encounters? preceded by BMI 30.0  or more within 24 months (%),,,,,,,,,,,Number of Patients,,,,,,,,,,
,,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026
Age at Encounter in Years,State of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Mexico,10.08%,11.15%,12.54%,13.58%,12.18%,12.27%,13.50%,14.81%,16.01%,16.73%,18.97%,30.87%,30.94%,32.37%,33.59%,32.07%,31.79%,33.40%,34.34%,35.02%,35.05%,38.04%,431254,494126,550209,588928,563869,612714,634361,651291,665317,666298,447045
,New Hampshire,7.52%,8.81%,10.98%,12.71%,13.34%,14.27%,15.09%,15.41%,16.13%,17.80%,19.85%,28.51%,27.73%,30.43%,31.70%,31.45%,32.13%,32.71%,33.04%,33.27%,34.24%,36.58%,359767,405623,426485,443765,459702,483282,496090,496364,512786,528648,383980
,Arizona,10.10%,10.85%,12.41%,13.62%,13.91%,12.74%,13.92%,15.70%,16.81%,18.50%,20.31%,30.79%,31.21%,32.87%,33.83%,32.62%,28.59%,28.44%,29.44%,30.47%,32.59%,34.94%,449245,538569,572060,605971,650479,866823,1059782,1222056,1379498,1431201,889897
,Utah,7.45%,7.86%,8.15%,8.58%,8.76%,13.78%,18.56%,20.11%,20.13%,17.74%,20.09%,22.59%,23.28%,23.88%,24.05%,23.82%,23.37%,23.35%,23.45%,23.55%,21.53%,26.54%,365144,391632,408836,432359,449865,534726,508037,544089,578909,1075976,904509
,Oregon,11.14%,12.01%,12.62%,13.05%,13.04%,11.28%,13.26%,14.02%,14.99%,16.08%,18.01%,26.80%,28.00%,28.77%,29.09%,28.65%,24.69%,27.92%,29.25%,30.07%,30.85%,33.11%,1145904,1226387,1339798,1422423,1464342,1899867,1691243,1713732,1776673,1806853,1235433
,Wyoming,9.98%,10.73%,11.37%,12.67%,13.72%,14.82%,15.77%,14.98%,15.24%,16.04%,18.49%,31.24%,31.54%,32.35%,32.23%,32.89%,32.51%,32.57%,32.11%,32.58%,33.91%,37.54%,88394,94273,101713,110154,112253,124471,129379,144272,153144,169319,111781
,California,8.60%,8.74%,10.13%,10.90%,11.17%,10.82%,12.22%,13.32%,14.43%,16.26%,18.71%,22.94%,23.41%,25.11%,26.07%,25.25%,23.15%,23.97%,25.03%,26.20%,27.44%,29.79%,2335320,3103857,3454804,4154112,4963768,6327688,6695130,7141416,8024610,8094833,5206521
,Vermont,7.47%,8.27%,9.15%,11.20%,11.97%,11.96%,11.80%,11.94%,12.22%,13.28%,14.86%,29.37%,29.89%,29.93%,28.55%,27.63%,27.00%,27.68%,28.64%,29.16%,30.13%,31.98%,206541,213675,223313,255395,300432,334671,338673,350242,359602,357489,250934
,Nevada,11.49%,12.71%,12.80%,13.24%,10.65%,10.95%,13.48%,14.67%,15.48%,15.42%,19.33%,28.02%,27.06%,27.76%,29.03%,24.14%,23.66%,27.11%,28.27%,29.32%,29.44%,33.44%,270325,343517,454051,512634,692179,776188,701274,708225,748539,859041,511996
,Colorado,7.81%,8.93%,10.01%,11.40%,12.37%,12.10%,13.43%,13.33%,13.62%,14.68%,16.63%,20.17%,21.82%,23.47%,24.12%,24.50%,23.03%,24.91%,24.77%,25.97%,27.90%,30.81%,1364874,1528639,1666660,1791432,1895707,2371847,2360038,2465725,2672380,2624000,1745081
,Washington,8.22%,8.94%,12.72%,14.18%,14.41%,12.88%,11.35%,11.22%,12.03%,13.08%,15.71%,27.01%,27.24%,28.43%,29.29%,29.48%,27.07%,25.89%,26.01%,27.60%,29.31%,33.00%,714195,800183,882789,925586,948130,1086893,1188253,1389496,1458298,1457077,906832
,Alaska,9.74%,10.85%,12.90%,14.56%,14.04%,13.18%,13.11%,12.87%,12.33%,11.07%,12.55%,28.61%,29.31%,29.84%,30.36%,29.51%,28.37%,29.22%,29.91%,28.57%,28.03%,30.68%,8580,10042,11649,11970,11919,13205,12449,12388,12819,13111,7190
,Hawaii,8.84%,9.99%,10.89%,11.39%,11.56%,9.49%,11.00%,12.40%,13.17%,13.93%,15.83%,22.45%,23.26%,23.90%,24.04%,23.99%,19.79%,22.35%,24.16%,25.15%,26.37%,28.65%,399351,414645,422738,439246,430729,575539,533730,544314,567822,556442,339030
,District of Columbia,4.89%,5.35%,6.17%,6.79%,6.72%,5.90%,9.30%,11.50%,11.62%,13.38%,16.46%,18.06%,18.70%,19.24%,20.35%,18.88%,19.23%,27.34%,29.76%,28.49%,31.10%,34.82%,17006,19289,22449,24899,29382,75783,90633,93336,114363,105555,55111
,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",10.52%,12.42%,14.68%,16.48%,17.42%,17.23%,18.48%,19.65%,20.49%,21.86%,24.67%,29.85%,30.89%,32.03%,32.99%,33.34%,32.31%,33.50%,34.39%,34.98%,36.21%,39.33%,61129681,69957926,77402511,83906824,88583858,105400238,110032890,117902259,126132021,128728351,88071787
