Session Title,Number of Patients and Percentage with Has Any Encounters? preceded by Immunizations: pneumoc within 5 years by Age at Encounter in Years Range and County of Residence,,
Session ID,2807396,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Days Since Last Immunization Registry Query: any,"State of Residence: California, Connecticut, Georgia, Tennessee, Minnesota, Oregon, New Mexico, Maryland, New York, Colorado",Has Any Encounters?
Session Date Range,1/1/2023 - 12/31/2025,,
Export User,Daniel Weinberger,,
Date of Export,3/25/2026,,
,,,
,,,
,Measures,Number of Patients,Percentage with Has Any Encounters? preceded by Immunizations: pneumoc within 5 years (%)
Age at Encounter in Years,County of Residence,,
,"RANDOLPH, GA",24,83.33%
,"SCOTT, TN",10 or fewer,-
,"CHATTAHOOCHEE, GA",17,76.47%
,"DE BACA, NM",10 or fewer,-
,"STEWART, GA",18,88.89%
,"LINCOLN, TN",10 or fewer,-
,"SCHLEY, GA",17,64.71%
,"CATRON, NM",10 or fewer,-
,"HINSDALE, CO",10 or fewer,-
,"DOLORES, CO",10 or fewer,-
,"OVERTON, TN",10 or fewer,-
,"BAKER, GA",10 or fewer,-
,"WHEELER, GA",11,-
,"LAWRENCE, TN",10 or fewer,-
,"DEKALB, TN",10 or fewer,-
,"UNION, TN",10 or fewer,-
,"MORGAN, TN",10 or fewer,-
,"GILES, TN",10 or fewer,-
,"MARSHALL, TN",10 or fewer,-
,"MINERAL, CO",10 or fewer,-
,"SMITH, TN",10 or fewer,-
,"LEWIS, TN",10 or fewer,-
,"HIDALGO, NM",10 or fewer,-
,"JACKSON, TN",10 or fewer,-
,"MACON, TN",10 or fewer,-
,"CANNON, TN",10 or fewer,-
,"WEBSTER, GA",10 or fewer,-
,"SAN JUAN, CO",10 or fewer,-
,"HARDING, NM",10 or fewer,-
,"PICKETT, TN",10 or fewer,-
,"CLAY, TN",10 or fewer,-
,"MOORE, TN",10 or fewer,-
